"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2689","Проверка отображения блока со статистикой","","Sun Mar 15 09:48:40 UTC 2026","passed","Sun Mar 15 09:48:42 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","2569","Проверка блока с подробной информацией","","Sun Mar 15 09:48:42 UTC 2026","passed","Sun Mar 15 09:48:45 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","2477","Проверка колонки с основной информацией","","Sun Mar 15 09:48:35 UTC 2026","passed","Sun Mar 15 09:48:37 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","12518","Ввод текста в строки поиска","","Sun Mar 15 09:48:48 UTC 2026","passed","Sun Mar 15 09:49:01 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","2566","Проверка блока с информацией о погоде на следующий день","","Sun Mar 15 09:48:32 UTC 2026","passed","Sun Mar 15 09:48:35 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","3809","Открытие GitHub по нажатию на Support Project","","Sun Mar 15 09:48:25 UTC 2026","passed","Sun Mar 15 09:48:29 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","2641","Проверка кликабельности кнопки изменения темы","","Sun Mar 15 09:48:29 UTC 2026","passed","Sun Mar 15 09:48:32 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","2523","Изменение параметра в статистике за три дня","","Sun Mar 15 09:48:37 UTC 2026","passed","Sun Mar 15 09:48:40 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","2647","Изменение параметра в статистике за 10 дней","","Sun Mar 15 09:48:45 UTC 2026","passed","Sun Mar 15 09:48:47 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","739","Отображение элементов заголовочной строки поиска","","Sun Mar 15 09:48:47 UTC 2026","passed","Sun Mar 15 09:48:48 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
