"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10982","Ввод текста в строки поиска","","Sun May 04 11:58:46 GMT 2025","passed","Sun May 04 11:58:57 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","4780","Открытие GitHub по нажатию на Support Project","","Sun May 04 11:58:28 GMT 2025","passed","Sun May 04 11:58:32 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1190","Проверка блока с информацией о погоде на следующий день","","Sun May 04 11:58:34 GMT 2025","passed","Sun May 04 11:58:35 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1265","Проверка блока с подробной информацией","","Sun May 04 11:58:39 GMT 2025","passed","Sun May 04 11:58:40 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","1319","Отображение элементов заголовочной строки поиска","","Sun May 04 11:58:44 GMT 2025","passed","Sun May 04 11:58:46 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","1448","Проверка отображения блока со статистикой","","Sun May 04 11:58:37 GMT 2025","passed","Sun May 04 11:58:39 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1269","Проверка кликабельности кнопки изменения темы","","Sun May 04 11:58:33 GMT 2025","passed","Sun May 04 11:58:34 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1360","Изменение параметра в статистике за 10 дней","","Sun May 04 11:58:40 GMT 2025","passed","Sun May 04 11:58:41 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","3036","Проверка вызовов методов при поиски погоды в городе","","Sun May 04 11:58:41 GMT 2025","passed","Sun May 04 11:58:44 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1229","Изменение параметра в статистике за три дня","","Sun May 04 11:58:36 GMT 2025","passed","Sun May 04 11:58:37 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","976","Проверка колонки с основной информацией","","Sun May 04 11:58:35 GMT 2025","passed","Sun May 04 11:58:36 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
