"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2901","Проверка отображения блока со статистикой","","Sun Mar 15 11:02:00 UTC 2026","passed","Sun Mar 15 11:02:03 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","2630","Проверка блока с информацией о погоде на следующий день","","Sun Mar 15 11:01:52 UTC 2026","passed","Sun Mar 15 11:01:54 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","2692","Изменение параметра в статистике за три дня","","Sun Mar 15 11:01:57 UTC 2026","passed","Sun Mar 15 11:02:00 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","2743","Изменение параметра в статистике за 10 дней","","Sun Mar 15 11:02:05 UTC 2026","passed","Sun Mar 15 11:02:08 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","2731","Проверка кликабельности кнопки изменения темы","","Sun Mar 15 11:01:49 UTC 2026","passed","Sun Mar 15 11:01:52 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","12625","Ввод текста в строки поиска","","Sun Mar 15 11:02:09 UTC 2026","passed","Sun Mar 15 11:02:22 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","745","Отображение элементов заголовочной строки поиска","","Sun Mar 15 11:02:08 UTC 2026","passed","Sun Mar 15 11:02:09 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","2554","Проверка колонки с основной информацией","","Sun Mar 15 11:01:54 UTC 2026","passed","Sun Mar 15 11:01:57 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","3940","Открытие GitHub по нажатию на Support Project","","Sun Mar 15 11:01:45 UTC 2026","passed","Sun Mar 15 11:01:49 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","2796","Проверка блока с подробной информацией","","Sun Mar 15 11:02:03 UTC 2026","passed","Sun Mar 15 11:02:05 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
