"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4295","Ввод текста в строку поиска","","Thu Apr 10 09:04:26 GMT 2025","passed","Thu Apr 10 09:04:30 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","6896","Открытие GitHub по нажатию на Support Project","","Thu Apr 10 09:04:17 GMT 2025","passed","Thu Apr 10 09:04:24 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","871","Проверка кликабельности кнопки изменения темы","","Thu Apr 10 09:04:24 GMT 2025","passed","Thu Apr 10 09:04:25 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","859","Отображение элементов заголовочной строки поиска","","Thu Apr 10 09:04:25 GMT 2025","passed","Thu Apr 10 09:04:26 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
