"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11089","Проверка вызовов методов при поиски погоды в городе","","Sat May 03 12:22:14 GMT 2025","failed","Sat May 03 12:22:25 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","11148","Проверка кликабельности кнопки изменения темы","","Sat May 03 12:20:56 GMT 2025","failed","Sat May 03 12:21:07 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","11053","Проверка отображения блока со статистикой","","Sat May 03 12:21:40 GMT 2025","failed","Sat May 03 12:21:51 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","11012","Ввод текста в строки поиска","","Sat May 03 12:22:26 GMT 2025","failed","Sat May 03 12:22:37 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","11037","Изменение параметра в статистике за 10 дней","","Sat May 03 12:22:03 GMT 2025","failed","Sat May 03 12:22:14 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1001","Отображение элементов заголовочной строки поиска","","Sat May 03 12:22:25 GMT 2025","passed","Sat May 03 12:22:26 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","11038","Проверка колонки с основной информацией","","Sat May 03 12:21:18 GMT 2025","failed","Sat May 03 12:21:29 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","3977","Открытие GitHub по нажатию на Support Project","","Sat May 03 12:20:52 GMT 2025","passed","Sat May 03 12:20:56 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","11104","Проверка блока с информацией о погоде на следующий день","","Sat May 03 12:21:07 GMT 2025","failed","Sat May 03 12:21:18 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","11070","Проверка блока с подробной информацией","","Sat May 03 12:21:51 GMT 2025","failed","Sat May 03 12:22:03 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","11020","Изменение параметра в статистике за три дня","","Sat May 03 12:21:29 GMT 2025","failed","Sat May 03 12:21:40 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
