"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1330","Проверка отображения блока со статистикой","","Sun May 04 11:54:00 GMT 2025","passed","Sun May 04 11:54:01 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1226","Проверка блока с подробной информацией","","Sun May 04 11:54:01 GMT 2025","passed","Sun May 04 11:54:02 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","1145","Отображение элементов заголовочной строки поиска","","Sun May 04 11:54:06 GMT 2025","passed","Sun May 04 11:54:08 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","10743","Ввод текста в строки поиска","","Sun May 04 11:54:08 GMT 2025","passed","Sun May 04 11:54:18 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","1002","Проверка колонки с основной информацией","","Sun May 04 11:53:58 GMT 2025","passed","Sun May 04 11:53:59 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1221","Изменение параметра в статистике за три дня","","Sun May 04 11:53:59 GMT 2025","passed","Sun May 04 11:54:00 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","1211","Проверка блока с информацией о погоде на следующий день","","Sun May 04 11:53:56 GMT 2025","passed","Sun May 04 11:53:58 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1199","Проверка кликабельности кнопки изменения темы","","Sun May 04 11:53:55 GMT 2025","passed","Sun May 04 11:53:56 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","2757","Проверка вызовов методов при поиски погоды в городе","","Sun May 04 11:54:04 GMT 2025","passed","Sun May 04 11:54:06 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1197","Изменение параметра в статистике за 10 дней","","Sun May 04 11:54:02 GMT 2025","passed","Sun May 04 11:54:04 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","4620","Открытие GitHub по нажатию на Support Project","","Sun May 04 11:53:51 GMT 2025","passed","Sun May 04 11:53:55 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
