"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1250","Проверка кликабельности кнопки изменения темы","","Wed Apr 23 16:56:22 GMT 2025","passed","Wed Apr 23 16:56:23 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","20222","Открытие GitHub по нажатию на Support Project","","Wed Apr 23 16:56:01 GMT 2025","passed","Wed Apr 23 16:56:22 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1003","Отображение элементов заголовочной строки поиска","","Wed Apr 23 16:56:31 GMT 2025","passed","Wed Apr 23 16:56:32 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","4617","Ввод текста в строку поиска","","Wed Apr 23 16:56:32 GMT 2025","passed","Wed Apr 23 16:56:37 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","8009","Поиск погоды в городе","","Wed Apr 23 16:56:23 GMT 2025","passed","Wed Apr 23 16:56:31 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
