"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1348","Проверка отображения блока со статистикой","","Sat Feb 28 09:23:34 UTC 2026","passed","Sat Feb 28 09:23:36 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1200","Проверка блока с информацией о погоде на следующий день","","Sat Feb 28 09:23:31 UTC 2026","passed","Sat Feb 28 09:23:32 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1112","Отображение элементов заголовочной строки поиска","","Sat Feb 28 09:23:41 UTC 2026","passed","Sat Feb 28 09:23:42 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","2908","Проверка вызовов методов при поиски погоды в городе","","Sat Feb 28 09:23:38 UTC 2026","passed","Sat Feb 28 09:23:41 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1207","Изменение параметра в статистике за три дня","","Sat Feb 28 09:23:33 UTC 2026","passed","Sat Feb 28 09:23:34 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","12415","Открытие GitHub по нажатию на Support Project","","Sat Feb 28 09:23:17 UTC 2026","passed","Sat Feb 28 09:23:30 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","958","Проверка колонки с основной информацией","","Sat Feb 28 09:23:32 UTC 2026","passed","Sat Feb 28 09:23:33 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1233","Изменение параметра в статистике за 10 дней","","Sat Feb 28 09:23:37 UTC 2026","passed","Sat Feb 28 09:23:38 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1387","Проверка кликабельности кнопки изменения темы","","Sat Feb 28 09:23:30 UTC 2026","passed","Sat Feb 28 09:23:31 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1247","Проверка блока с подробной информацией","","Sat Feb 28 09:23:36 UTC 2026","passed","Sat Feb 28 09:23:37 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","10773","Ввод текста в строки поиска","","Sat Feb 28 09:23:42 UTC 2026","passed","Sat Feb 28 09:23:53 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
