"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","978","Проверка колонки с основной информацией","","Tue Mar 03 18:35:59 UTC 2026","passed","Tue Mar 03 18:36:00 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1238","Изменение параметра в статистике за три дня","","Tue Mar 03 18:36:00 UTC 2026","passed","Tue Mar 03 18:36:02 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","2587","Проверка кликабельности кнопки изменения темы","","Tue Mar 03 18:35:56 UTC 2026","passed","Tue Mar 03 18:35:58 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","12972","Открытие GitHub по нажатию на Support Project","","Tue Mar 03 18:35:43 UTC 2026","passed","Tue Mar 03 18:35:56 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","11003","Ввод текста в строки поиска","","Tue Mar 03 18:36:10 UTC 2026","passed","Tue Mar 03 18:36:21 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","1292","Отображение элементов заголовочной строки поиска","","Tue Mar 03 18:36:09 UTC 2026","passed","Tue Mar 03 18:36:10 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","1487","Проверка блока с подробной информацией","","Tue Mar 03 18:36:03 UTC 2026","passed","Tue Mar 03 18:36:05 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","1436","Проверка отображения блока со статистикой","","Tue Mar 03 18:36:02 UTC 2026","passed","Tue Mar 03 18:36:03 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1353","Изменение параметра в статистике за 10 дней","","Tue Mar 03 18:36:05 UTC 2026","passed","Tue Mar 03 18:36:06 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1212","Проверка блока с информацией о погоде на следующий день","","Tue Mar 03 18:35:58 UTC 2026","passed","Tue Mar 03 18:35:59 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","3213","Проверка вызовов методов при поиски погоды в городе","","Tue Mar 03 18:36:06 UTC 2026","passed","Tue Mar 03 18:36:09 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
