"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2955","Проверка блока с информацией о погоде на следующий день","","Sun Mar 15 09:36:02 UTC 2026","passed","Sun Mar 15 09:36:05 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","12888","Ввод текста в строки поиска","","Sun Mar 15 09:36:20 UTC 2026","passed","Sun Mar 15 09:36:33 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","2847","Изменение параметра в статистике за 10 дней","","Sun Mar 15 09:36:17 UTC 2026","passed","Sun Mar 15 09:36:20 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","3009","Проверка блока с подробной информацией","","Sun Mar 15 09:36:14 UTC 2026","passed","Sun Mar 15 09:36:17 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","2817","Проверка кликабельности кнопки изменения темы","","Sun Mar 15 09:35:59 UTC 2026","passed","Sun Mar 15 09:36:02 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","749","Отображение элементов заголовочной строки поиска","","Sun Mar 15 09:36:20 UTC 2026","passed","Sun Mar 15 09:36:20 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","2877","Проверка колонки с основной информацией","","Sun Mar 15 09:36:05 UTC 2026","passed","Sun Mar 15 09:36:08 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","2886","Изменение параметра в статистике за три дня","","Sun Mar 15 09:36:08 UTC 2026","passed","Sun Mar 15 09:36:11 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","4027","Открытие GitHub по нажатию на Support Project","","Sun Mar 15 09:35:55 UTC 2026","passed","Sun Mar 15 09:35:59 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","3136","Проверка отображения блока со статистикой","","Sun Mar 15 09:36:11 UTC 2026","passed","Sun Mar 15 09:36:14 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
