"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27280","Открытие GitHub по нажатию на Support Project","","Sat May 03 12:41:51 GMT 2025","passed","Sat May 03 12:42:18 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","11105","Ввод текста в строки поиска","","Sat May 03 12:43:48 GMT 2025","failed","Sat May 03 12:43:59 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","11054","Проверка отображения блока со статистикой","","Sat May 03 12:43:03 GMT 2025","failed","Sat May 03 12:43:14 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","11339","Проверка вызовов методов при поиски погоды в городе","","Sat May 03 12:43:36 GMT 2025","failed","Sat May 03 12:43:47 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","999","Отображение элементов заголовочной строки поиска","","Sat May 03 12:43:47 GMT 2025","passed","Sat May 03 12:43:48 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","11081","Проверка блока с подробной информацией","","Sat May 03 12:43:14 GMT 2025","failed","Sat May 03 12:43:25 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","10909","Проверка колонки с основной информацией","","Sat May 03 12:42:41 GMT 2025","failed","Sat May 03 12:42:51 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","11073","Изменение параметра в статистике за три дня","","Sat May 03 12:42:51 GMT 2025","failed","Sat May 03 12:43:03 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","11314","Проверка кликабельности кнопки изменения темы","","Sat May 03 12:42:18 GMT 2025","failed","Sat May 03 12:42:29 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","11085","Проверка блока с информацией о погоде на следующий день","","Sat May 03 12:42:29 GMT 2025","failed","Sat May 03 12:42:41 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","11083","Изменение параметра в статистике за 10 дней","","Sat May 03 12:43:25 GMT 2025","failed","Sat May 03 12:43:36 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
