"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4547","Открытие GitHub по нажатию на Support Project","","Sat Apr 12 11:11:35 GMT 2025","passed","Sat Apr 12 11:11:39 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","822","Отображение элементов заголовочной строки поиска","","Sat Apr 12 11:11:40 GMT 2025","passed","Sat Apr 12 11:11:41 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","4159","Ввод текста в строку поиска","","Sat Apr 12 11:11:41 GMT 2025","passed","Sat Apr 12 11:11:45 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","802","Проверка кликабельности кнопки изменения темы","","Sat Apr 12 11:11:39 GMT 2025","passed","Sat Apr 12 11:11:40 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
