"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1128","Отображение элементов заголовочной строки поиска","","Sat Feb 28 12:43:45 UTC 2026","passed","Sat Feb 28 12:43:46 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","1938","Изменение параметра в статистике за три дня","","Sat Feb 28 12:43:36 UTC 2026","passed","Sat Feb 28 12:43:38 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","12589","Открытие GitHub по нажатию на Support Project","","Sat Feb 28 12:43:19 UTC 2026","passed","Sat Feb 28 12:43:32 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1261","Проверка кликабельности кнопки изменения темы","","Sat Feb 28 12:43:32 UTC 2026","passed","Sat Feb 28 12:43:33 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","2869","Проверка вызовов методов при поиски погоды в городе","","Sat Feb 28 12:43:42 UTC 2026","passed","Sat Feb 28 12:43:45 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1652","Проверка отображения блока со статистикой","","Sat Feb 28 12:43:38 UTC 2026","passed","Sat Feb 28 12:43:39 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1302","Проверка блока с подробной информацией","","Sat Feb 28 12:43:39 UTC 2026","passed","Sat Feb 28 12:43:41 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","10799","Ввод текста в строки поиска","","Sat Feb 28 12:43:46 UTC 2026","passed","Sat Feb 28 12:43:57 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","1033","Проверка колонки с основной информацией","","Sat Feb 28 12:43:35 UTC 2026","passed","Sat Feb 28 12:43:36 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1246","Проверка блока с информацией о погоде на следующий день","","Sat Feb 28 12:43:33 UTC 2026","passed","Sat Feb 28 12:43:35 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1195","Изменение параметра в статистике за 10 дней","","Sat Feb 28 12:43:41 UTC 2026","passed","Sat Feb 28 12:43:42 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
