"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22935","Открытие GitHub по нажатию на Support Project","","Tue Apr 22 18:04:22 GMT 2025","passed","Tue Apr 22 18:04:45 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","937","Отображение элементов заголовочной строки поиска","","Tue Apr 22 18:04:54 GMT 2025","passed","Tue Apr 22 18:04:55 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","4560","Ввод текста в строку поиска","","Tue Apr 22 18:04:55 GMT 2025","passed","Tue Apr 22 18:05:00 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","7863","Поиск погоды в городе","","Tue Apr 22 18:04:46 GMT 2025","passed","Tue Apr 22 18:04:54 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1094","Проверка кликабельности кнопки изменения темы","","Tue Apr 22 18:04:45 GMT 2025","passed","Tue Apr 22 18:04:46 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
