"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5084","Открытие GitHub по нажатию на Support Project","","Sun Apr 13 18:37:03 GMT 2025","passed","Sun Apr 13 18:37:08 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","861","Проверка кликабельности кнопки изменения темы","","Sun Apr 13 18:37:08 GMT 2025","passed","Sun Apr 13 18:37:09 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","892","Отображение элементов заголовочной строки поиска","","Sun Apr 13 18:37:09 GMT 2025","passed","Sun Apr 13 18:37:10 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","4289","Ввод текста в строку поиска","","Sun Apr 13 18:37:10 GMT 2025","passed","Sun Apr 13 18:37:14 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
