"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11080","Изменение параметра в статистике за три дня","","Sat May 03 18:54:38 GMT 2025","failed","Sat May 03 18:54:49 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","980","Отображение элементов заголовочной строки поиска","","Sat May 03 18:55:33 GMT 2025","passed","Sat May 03 18:55:34 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","11096","Ввод текста в строки поиска","","Sat May 03 18:55:34 GMT 2025","failed","Sat May 03 18:55:45 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","11057","Проверка колонки с основной информацией","","Sat May 03 18:54:27 GMT 2025","failed","Sat May 03 18:54:38 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","11097","Проверка блока с информацией о погоде на следующий день","","Sat May 03 18:54:16 GMT 2025","failed","Sat May 03 18:54:27 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","11114","Проверка вызовов методов при поиски погоды в городе","","Sat May 03 18:55:22 GMT 2025","failed","Sat May 03 18:55:33 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","11042","Изменение параметра в статистике за 10 дней","","Sat May 03 18:55:11 GMT 2025","failed","Sat May 03 18:55:22 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","11098","Проверка блока с подробной информацией","","Sat May 03 18:55:00 GMT 2025","failed","Sat May 03 18:55:11 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","11081","Проверка отображения блока со статистикой","","Sat May 03 18:54:49 GMT 2025","failed","Sat May 03 18:55:00 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","11138","Проверка кликабельности кнопки изменения темы","","Sat May 03 18:54:05 GMT 2025","failed","Sat May 03 18:54:16 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","21371","Открытие GitHub по нажатию на Support Project","","Sat May 03 18:53:43 GMT 2025","passed","Sat May 03 18:54:05 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
