"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1213","Изменение параметра в статистике за три дня","","Sat Feb 28 12:50:12 UTC 2026","passed","Sat Feb 28 12:50:14 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","1822","Отображение элементов заголовочной строки поиска","","Sat Feb 28 12:50:20 UTC 2026","passed","Sat Feb 28 12:50:22 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","2812","Проверка вызовов методов при поиски погоды в городе","","Sat Feb 28 12:50:18 UTC 2026","passed","Sat Feb 28 12:50:20 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","10787","Ввод текста в строки поиска","","Sat Feb 28 12:50:22 UTC 2026","passed","Sat Feb 28 12:50:33 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","7349","Открытие GitHub по нажатию на Support Project","","Sat Feb 28 12:50:02 UTC 2026","passed","Sat Feb 28 12:50:09 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1173","Проверка блока с информацией о погоде на следующий день","","Sat Feb 28 12:50:10 UTC 2026","passed","Sat Feb 28 12:50:11 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","977","Проверка колонки с основной информацией","","Sat Feb 28 12:50:11 UTC 2026","passed","Sat Feb 28 12:50:12 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1205","Изменение параметра в статистике за 10 дней","","Sat Feb 28 12:50:16 UTC 2026","passed","Sat Feb 28 12:50:18 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1300","Проверка блока с подробной информацией","","Sat Feb 28 12:50:15 UTC 2026","passed","Sat Feb 28 12:50:16 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","1385","Проверка отображения блока со статистикой","","Sat Feb 28 12:50:14 UTC 2026","passed","Sat Feb 28 12:50:15 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1191","Проверка кликабельности кнопки изменения темы","","Sat Feb 28 12:50:09 UTC 2026","passed","Sat Feb 28 12:50:10 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
