"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1213","Изменение параметра в статистике за три дня","","Sun May 04 12:11:37 GMT 2025","passed","Sun May 04 12:11:39 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","1255","Проверка блока с подробной информацией","","Sun May 04 12:11:40 GMT 2025","passed","Sun May 04 12:11:41 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","995","Проверка колонки с основной информацией","","Sun May 04 12:11:36 GMT 2025","passed","Sun May 04 12:11:37 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","10794","Ввод текста в строки поиска","","Sun May 04 12:11:46 GMT 2025","passed","Sun May 04 12:11:57 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","5691","Открытие GitHub по нажатию на Support Project","","Sun May 04 12:11:28 GMT 2025","passed","Sun May 04 12:11:34 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1115","Отображение элементов заголовочной строки поиска","","Sun May 04 12:11:45 GMT 2025","passed","Sun May 04 12:11:46 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","1375","Проверка отображения блока со статистикой","","Sun May 04 12:11:39 GMT 2025","passed","Sun May 04 12:11:40 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","2808","Проверка вызовов методов при поиски погоды в городе","","Sun May 04 12:11:42 GMT 2025","passed","Sun May 04 12:11:45 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1192","Проверка блока с информацией о погоде на следующий день","","Sun May 04 12:11:35 GMT 2025","passed","Sun May 04 12:11:36 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1229","Изменение параметра в статистике за 10 дней","","Sun May 04 12:11:41 GMT 2025","passed","Sun May 04 12:11:42 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1502","Проверка кликабельности кнопки изменения темы","","Sun May 04 12:11:34 GMT 2025","passed","Sun May 04 12:11:35 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
