"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11054","Изменение параметра в статистике за 10 дней","","Sat May 03 18:46:55 GMT 2025","failed","Sat May 03 18:47:06 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","11212","Проверка кликабельности кнопки изменения темы","","Sat May 03 18:45:48 GMT 2025","failed","Sat May 03 18:45:59 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","11077","Проверка колонки с основной информацией","","Sat May 03 18:46:10 GMT 2025","failed","Sat May 03 18:46:22 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","11109","Проверка блока с подробной информацией","","Sat May 03 18:46:44 GMT 2025","failed","Sat May 03 18:46:55 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","6323","Открытие GitHub по нажатию на Support Project","","Sat May 03 18:45:42 GMT 2025","passed","Sat May 03 18:45:48 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","11184","Проверка блока с информацией о погоде на следующий день","","Sat May 03 18:45:59 GMT 2025","failed","Sat May 03 18:46:10 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1008","Отображение элементов заголовочной строки поиска","","Sat May 03 18:47:17 GMT 2025","passed","Sat May 03 18:47:18 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","11080","Проверка отображения блока со статистикой","","Sat May 03 18:46:33 GMT 2025","failed","Sat May 03 18:46:44 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","11192","Проверка вызовов методов при поиски погоды в городе","","Sat May 03 18:47:06 GMT 2025","failed","Sat May 03 18:47:17 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","11139","Ввод текста в строки поиска","","Sat May 03 18:47:18 GMT 2025","failed","Sat May 03 18:47:29 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","11078","Изменение параметра в статистике за три дня","","Sat May 03 18:46:22 GMT 2025","failed","Sat May 03 18:46:33 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
