"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16560","Открытие GitHub по нажатию на Support Project","","Tue Apr 22 18:01:23 GMT 2025","passed","Tue Apr 22 18:01:39 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","4611","Ввод текста в строку поиска","","Tue Apr 22 18:01:49 GMT 2025","passed","Tue Apr 22 18:01:54 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","1237","Проверка кликабельности кнопки изменения темы","","Tue Apr 22 18:01:39 GMT 2025","passed","Tue Apr 22 18:01:41 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","7794","Поиск погоды в городе","","Tue Apr 22 18:01:41 GMT 2025","passed","Tue Apr 22 18:01:48 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","957","Отображение элементов заголовочной строки поиска","","Tue Apr 22 18:01:48 GMT 2025","passed","Tue Apr 22 18:01:49 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
