"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11133","Проверка колонки с основной информацией","","Sat May 03 11:06:05 GMT 2025","failed","Sat May 03 11:06:16 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","11041","Изменение параметра в статистике за 10 дней","","Sat May 03 11:06:50 GMT 2025","failed","Sat May 03 11:07:01 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","11135","Ввод текста в строки поиска","","Sat May 03 11:07:13 GMT 2025","failed","Sat May 03 11:07:24 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","11103","Проверка блока с подробной информацией","","Sat May 03 11:06:38 GMT 2025","failed","Sat May 03 11:06:50 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","3816","Открытие GitHub по нажатию на Support Project","","Sat May 03 11:05:39 GMT 2025","passed","Sat May 03 11:05:43 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","11139","Проверка блока с информацией о погоде на следующий день","","Sat May 03 11:05:54 GMT 2025","failed","Sat May 03 11:06:05 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","10897","Проверка отображения блока со статистикой","","Sat May 03 11:06:28 GMT 2025","failed","Sat May 03 11:06:38 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","10971","Проверка вызовов методов при поиски погоды в городе","","Sat May 03 11:07:01 GMT 2025","failed","Sat May 03 11:07:12 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1015","Отображение элементов заголовочной строки поиска","","Sat May 03 11:07:12 GMT 2025","passed","Sat May 03 11:07:13 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","11082","Изменение параметра в статистике за три дня","","Sat May 03 11:06:16 GMT 2025","failed","Sat May 03 11:06:28 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","11242","Проверка кликабельности кнопки изменения темы","","Sat May 03 11:05:43 GMT 2025","failed","Sat May 03 11:05:54 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
