"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2854","Проверка вызовов методов при поиски погоды в городе","","Sat Feb 28 12:50:01 UTC 2026","passed","Sat Feb 28 12:50:04 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1176","Изменение параметра в статистике за 10 дней","","Sat Feb 28 12:50:00 UTC 2026","passed","Sat Feb 28 12:50:01 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","11881","Ввод текста в строки поиска","","Sat Feb 28 12:50:05 UTC 2026","passed","Sat Feb 28 12:50:17 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","1161","Проверка блока с информацией о погоде на следующий день","","Sat Feb 28 12:49:54 UTC 2026","passed","Sat Feb 28 12:49:55 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1235","Проверка блока с подробной информацией","","Sat Feb 28 12:49:59 UTC 2026","passed","Sat Feb 28 12:50:00 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","12032","Открытие GitHub по нажатию на Support Project","","Sat Feb 28 12:49:40 UTC 2026","passed","Sat Feb 28 12:49:52 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1360","Проверка отображения блока со статистикой","","Sat Feb 28 12:49:57 UTC 2026","passed","Sat Feb 28 12:49:59 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1226","Изменение параметра в статистике за три дня","","Sat Feb 28 12:49:56 UTC 2026","passed","Sat Feb 28 12:49:57 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","1235","Проверка кликабельности кнопки изменения темы","","Sat Feb 28 12:49:53 UTC 2026","passed","Sat Feb 28 12:49:54 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1104","Отображение элементов заголовочной строки поиска","","Sat Feb 28 12:50:04 UTC 2026","passed","Sat Feb 28 12:50:05 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","976","Проверка колонки с основной информацией","","Sat Feb 28 12:49:55 UTC 2026","passed","Sat Feb 28 12:49:56 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
