"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4550","Ввод текста в строку поиска","","Mon Apr 14 16:10:10 GMT 2025","passed","Mon Apr 14 16:10:14 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","958","Проверка кликабельности кнопки изменения темы","","Mon Apr 14 16:10:08 GMT 2025","passed","Mon Apr 14 16:10:09 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","13982","Открытие GitHub по нажатию на Support Project","","Mon Apr 14 16:09:54 GMT 2025","passed","Mon Apr 14 16:10:08 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","983","Отображение элементов заголовочной строки поиска","","Mon Apr 14 16:10:09 GMT 2025","passed","Mon Apr 14 16:10:10 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
