"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3229","Проверка блока с подробной информацией","","Sun Mar 15 07:58:06 UTC 2026","passed","Sun Mar 15 07:58:09 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","715","Отображение элементов заголовочной строки поиска","","Sun Mar 15 07:58:12 UTC 2026","passed","Sun Mar 15 07:58:13 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","2902","Изменение параметра в статистике за три дня","","Sun Mar 15 07:58:00 UTC 2026","passed","Sun Mar 15 07:58:03 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","3083","Проверка отображения блока со статистикой","","Sun Mar 15 07:58:03 UTC 2026","passed","Sun Mar 15 07:58:06 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","4038","Открытие GitHub по нажатию на Support Project","","Sun Mar 15 07:57:47 UTC 2026","passed","Sun Mar 15 07:57:51 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","2769","Проверка колонки с основной информацией","","Sun Mar 15 07:57:57 UTC 2026","passed","Sun Mar 15 07:58:00 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","2990","Проверка кликабельности кнопки изменения темы","","Sun Mar 15 07:57:51 UTC 2026","passed","Sun Mar 15 07:57:54 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","12884","Ввод текста в строки поиска","","Sun Mar 15 07:58:13 UTC 2026","passed","Sun Mar 15 07:58:26 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","2875","Изменение параметра в статистике за 10 дней","","Sun Mar 15 07:58:09 UTC 2026","passed","Sun Mar 15 07:58:12 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","2944","Проверка блока с информацией о погоде на следующий день","","Sun Mar 15 07:57:54 UTC 2026","passed","Sun Mar 15 07:57:57 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
