"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","826","Проверка кликабельности кнопки изменения темы","","Sat Apr 12 11:05:43 GMT 2025","passed","Sat Apr 12 11:05:43 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","4165","Ввод текста в строку поиска","","Sat Apr 12 11:05:44 GMT 2025","passed","Sat Apr 12 11:05:48 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","3589","Открытие GitHub по нажатию на Support Project","","Sat Apr 12 11:05:39 GMT 2025","passed","Sat Apr 12 11:05:43 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","817","Отображение элементов заголовочной строки поиска","","Sat Apr 12 11:05:43 GMT 2025","passed","Sat Apr 12 11:05:44 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
