"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1200","Проверка кликабельности кнопки изменения темы","","Sat Feb 28 13:06:14 UTC 2026","passed","Sat Feb 28 13:06:15 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1298","Проверка блока с подробной информацией","","Sat Feb 28 13:06:20 UTC 2026","passed","Sat Feb 28 13:06:21 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","10883","Ввод текста в строки поиска","","Sat Feb 28 13:06:27 UTC 2026","passed","Sat Feb 28 13:06:38 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","2913","Проверка вызовов методов при поиски погоды в городе","","Sat Feb 28 13:06:23 UTC 2026","passed","Sat Feb 28 13:06:25 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1248","Проверка блока с информацией о погоде на следующий день","","Sat Feb 28 13:06:15 UTC 2026","passed","Sat Feb 28 13:06:16 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","11482","Открытие GitHub по нажатию на Support Project","","Sat Feb 28 13:06:02 UTC 2026","passed","Sat Feb 28 13:06:14 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1471","Проверка отображения блока со статистикой","","Sat Feb 28 13:06:19 UTC 2026","passed","Sat Feb 28 13:06:20 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1270","Изменение параметра в статистике за три дня","","Sat Feb 28 13:06:17 UTC 2026","passed","Sat Feb 28 13:06:19 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","1040","Проверка колонки с основной информацией","","Sat Feb 28 13:06:16 UTC 2026","passed","Sat Feb 28 13:06:17 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1241","Изменение параметра в статистике за 10 дней","","Sat Feb 28 13:06:21 UTC 2026","passed","Sat Feb 28 13:06:23 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1188","Отображение элементов заголовочной строки поиска","","Sat Feb 28 13:06:26 UTC 2026","passed","Sat Feb 28 13:06:27 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
