"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3098","Проверка вызовов методов при поиски погоды в городе","","Wed May 07 13:33:53 GMT 2025","passed","Wed May 07 13:33:56 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","30673","Открытие GitHub по нажатию на Support Project","","Wed May 07 13:33:13 GMT 2025","passed","Wed May 07 13:33:44 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1376","Проверка отображения блока со статистикой","","Wed May 07 13:33:49 GMT 2025","passed","Wed May 07 13:33:50 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1186","Проверка кликабельности кнопки изменения темы","","Wed May 07 13:33:44 GMT 2025","passed","Wed May 07 13:33:45 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1300","Изменение параметра в статистике за три дня","","Wed May 07 13:33:48 GMT 2025","passed","Wed May 07 13:33:49 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","10850","Ввод текста в строки поиска","","Wed May 07 13:33:57 GMT 2025","passed","Wed May 07 13:34:08 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","1193","Изменение параметра в статистике за 10 дней","","Wed May 07 13:33:52 GMT 2025","passed","Wed May 07 13:33:53 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1143","Отображение элементов заголовочной строки поиска","","Wed May 07 13:33:56 GMT 2025","passed","Wed May 07 13:33:57 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","1033","Проверка колонки с основной информацией","","Wed May 07 13:33:47 GMT 2025","passed","Wed May 07 13:33:48 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1256","Проверка блока с подробной информацией","","Wed May 07 13:33:50 GMT 2025","passed","Wed May 07 13:33:52 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","1222","Проверка блока с информацией о погоде на следующий день","","Wed May 07 13:33:45 GMT 2025","passed","Wed May 07 13:33:47 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
