"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","943","Проверка кликабельности кнопки изменения темы","","Mon Apr 14 14:51:59 GMT 2025","passed","Mon Apr 14 14:52:00 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","971","Отображение элементов заголовочной строки поиска","","Mon Apr 14 14:52:00 GMT 2025","passed","Mon Apr 14 14:52:01 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","4386","Ввод текста в строку поиска","","Mon Apr 14 14:52:01 GMT 2025","passed","Mon Apr 14 14:52:05 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","9855","Открытие GitHub по нажатию на Support Project","","Mon Apr 14 14:51:49 GMT 2025","passed","Mon Apr 14 14:51:59 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
