"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11075","Проверка колонки с основной информацией","","Sat May 03 15:54:50 GMT 2025","failed","Sat May 03 15:55:01 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","11033","Проверка отображения блока со статистикой","","Sat May 03 15:55:13 GMT 2025","failed","Sat May 03 15:55:24 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","11013","Ввод текста в строки поиска","","Sat May 03 15:55:58 GMT 2025","failed","Sat May 03 15:56:09 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","11107","Проверка вызовов методов при поиски погоды в городе","","Sat May 03 15:55:46 GMT 2025","failed","Sat May 03 15:55:57 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","12155","Открытие GitHub по нажатию на Support Project","","Sat May 03 15:54:16 GMT 2025","passed","Sat May 03 15:54:28 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","11145","Проверка кликабельности кнопки изменения темы","","Sat May 03 15:54:28 GMT 2025","failed","Sat May 03 15:54:39 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","11059","Изменение параметра в статистике за 10 дней","","Sat May 03 15:55:35 GMT 2025","failed","Sat May 03 15:55:46 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","965","Отображение элементов заголовочной строки поиска","","Sat May 03 15:55:57 GMT 2025","passed","Sat May 03 15:55:58 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","11140","Проверка блока с информацией о погоде на следующий день","","Sat May 03 15:54:39 GMT 2025","failed","Sat May 03 15:54:50 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","11223","Изменение параметра в статистике за три дня","","Sat May 03 15:55:01 GMT 2025","failed","Sat May 03 15:55:13 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","11046","Проверка блока с подробной информацией","","Sat May 03 15:55:24 GMT 2025","failed","Sat May 03 15:55:35 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
