"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2813","Проверка вызовов методов при поиски погоды в городе","","Sat Feb 28 17:37:37 UTC 2026","passed","Sat Feb 28 17:37:40 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","1112","Изменение параметра в статистике за три дня","","Sat Feb 28 17:37:32 UTC 2026","passed","Sat Feb 28 17:37:34 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","864","Проверка колонки с основной информацией","","Sat Feb 28 17:37:32 UTC 2026","passed","Sat Feb 28 17:37:32 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","1025","Изменение параметра в статистике за 10 дней","","Sat Feb 28 17:37:36 UTC 2026","passed","Sat Feb 28 17:37:37 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1217","Проверка отображения блока со статистикой","","Sat Feb 28 17:37:34 UTC 2026","passed","Sat Feb 28 17:37:35 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1057","Проверка кликабельности кнопки изменения темы","","Sat Feb 28 17:37:29 UTC 2026","passed","Sat Feb 28 17:37:31 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1042","Проверка блока с информацией о погоде на следующий день","","Sat Feb 28 17:37:31 UTC 2026","passed","Sat Feb 28 17:37:32 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","1001","Отображение элементов заголовочной строки поиска","","Sat Feb 28 17:37:40 UTC 2026","passed","Sat Feb 28 17:37:41 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","1114","Проверка блока с подробной информацией","","Sat Feb 28 17:37:35 UTC 2026","passed","Sat Feb 28 17:37:36 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","10551","Ввод текста в строки поиска","","Sat Feb 28 17:37:41 UTC 2026","passed","Sat Feb 28 17:37:51 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","16298","Открытие GitHub по нажатию на Support Project","","Sat Feb 28 17:37:13 UTC 2026","passed","Sat Feb 28 17:37:29 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
