"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1185","Проверка кликабельности кнопки изменения темы","","Tue Apr 22 18:36:07 GMT 2025","passed","Tue Apr 22 18:36:08 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","996","Отображение элементов заголовочной строки поиска","","Tue Apr 22 18:36:16 GMT 2025","passed","Tue Apr 22 18:36:17 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","7792","Поиск погоды в городе","","Tue Apr 22 18:36:08 GMT 2025","passed","Tue Apr 22 18:36:16 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","5730","Открытие GitHub по нажатию на Support Project","","Tue Apr 22 18:36:01 GMT 2025","passed","Tue Apr 22 18:36:07 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","4647","Ввод текста в строку поиска","","Tue Apr 22 18:36:17 GMT 2025","passed","Tue Apr 22 18:36:22 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
